Timestamp	Source Workgroup	Source IP	Source Port	Destination Workgroup	Destination IP	Destination Port	Application	Protocol	Packet Size(B)
2010-12-01 23:00:00	Atlanta	10.0.0.1	58091	Texas	10.0.0.30	80	HTTP	UDP	2162
2010-12-01 23:00:01	Atlanta	10.0.0.1	65437	Texas	10.0.0.27	80	HTTP	UDP	2940
2010-12-01 23:00:02	Atlanta	10.0.0.1	52437	Texas	10.0.0.27	80	HTTP	UDP	5828
2010-12-01 23:00:03	Atlanta	10.0.0.1	58155	Texas	10.0.0.27	80	HTTP	UDP	5039
2010-12-01 23:00:04	Atlanta	10.0.0.1	51215	Texas	10.0.0.27	80	HTTP	UDP	3743
2010-12-01 23:00:05	Atlanta	10.0.0.1	58654	Texas	10.0.0.27	80	HTTP	UDP	2895
2010-12-01 23:00:06	Atlanta	10.0.0.1	61229	Texas	10.0.0.30	80	HTTP	UDP	5160
2010-12-01 23:00:07	Atlanta	10.0.0.1	61487	Texas	10.0.0.25	80	HTTP	UDP	5015
2010-12-01 23:00:08	Atlanta	10.0.0.1	56195	Texas	10.0.0.27	80	HTTP	UDP	5938
2010-12-01 23:00:09	Atlanta	10.0.0.1	61956	Texas	10.0.0.30	80	HTTP	UDP	4753
2010-12-01 23:00:10	Atlanta	10.0.0.1	56300	Texas	10.0.0.28	80	HTTP	UDP	4647
2010-12-01 23:00:11	Atlanta	10.0.0.1	58302	Texas	10.0.0.25	80	HTTP	UDP	5501
2010-12-01 23:00:12	Atlanta	10.0.0.1	55147	Texas	10.0.0.27	80	HTTP	UDP	4040
2010-12-01 23:00:13	Atlanta	10.0.0.1	52928	Texas	10.0.0.25	80	HTTP	UDP	4281
2010-12-01 23:00:14	Atlanta	10.0.0.1	54519	Texas	10.0.0.28	80	HTTP	UDP	5072
2010-12-01 23:00:15	Atlanta	10.0.0.1	53075	Texas	10.0.0.30	80	HTTP	UDP	5548
2010-12-01 23:00:16	Atlanta	10.0.0.1	60883	Texas	10.0.0.27	80	HTTP	UDP	5345
2010-12-01 23:00:17	Atlanta	10.0.0.1	57732	Texas	10.0.0.29	80	HTTP	UDP	5538
2010-12-01 23:00:18	Atlanta	10.0.0.1	65356	Texas	10.0.0.29	80	HTTP	UDP	5749
2010-12-01 23:00:19	Atlanta	10.0.0.1	50963	Texas	10.0.0.26	80	HTTP	UDP	3535
2010-12-01 23:00:20	Atlanta	10.0.0.1	61521	Texas	10.0.0.25	80	HTTP	UDP	4093
2010-12-01 23:00:21	Atlanta	10.0.0.1	58309	Texas	10.0.0.27	80	HTTP	UDP	4849
2010-12-01 23:00:22	Atlanta	10.0.0.1	59110	Texas	10.0.0.27	80	HTTP	UDP	4042
2010-12-01 23:00:23	Atlanta	10.0.0.1	65152	Texas	10.0.0.25	80	HTTP	UDP	3729
2010-12-01 23:00:24	Atlanta	10.0.0.1	52299	Texas	10.0.0.25	80	HTTP	UDP	3419
2010-12-01 23:00:25	Atlanta	10.0.0.1	53020	Texas	10.0.0.27	80	HTTP	UDP	2708
2010-12-01 23:00:26	Atlanta	10.0.0.1	51644	Texas	10.0.0.30	80	HTTP	UDP	3183
2010-12-01 23:00:27	Atlanta	10.0.0.1	60407	Texas	10.0.0.27	80	HTTP	UDP	3326
2010-12-01 23:00:28	Atlanta	10.0.0.1	60449	Texas	10.0.0.25	80	HTTP	UDP	4189
2010-12-01 23:00:29	Atlanta	10.0.0.1	56257	Texas	10.0.0.27	80	HTTP	UDP	4289
2010-12-01 23:00:30	Atlanta	10.0.0.1	57596	Texas	10.0.0.30	80	HTTP	UDP	5906
2010-12-01 23:00:31	Atlanta	10.0.0.1	63953	Texas	10.0.0.28	80	HTTP	UDP	2295
2010-12-01 23:00:32	Atlanta	10.0.0.1	62129	Texas	10.0.0.25	80	HTTP	UDP	2790
2010-12-01 23:00:33	Atlanta	10.0.0.1	62075	Texas	10.0.0.25	80	HTTP	UDP	5951
2010-12-01 23:00:34	Atlanta	10.0.0.1	52314	Texas	10.0.0.30	80	HTTP	UDP	3374
2010-12-01 23:00:35	Atlanta	10.0.0.1	52687	Texas	10.0.0.25	80	HTTP	UDP	3146
2010-12-01 23:00:36	Atlanta	10.0.0.1	56812	Texas	10.0.0.28	80	HTTP	UDP	4393
2010-12-01 23:00:37	Atlanta	10.0.0.1	50252	Texas	10.0.0.30	80	HTTP	UDP	5482
2010-12-01 23:00:38	Atlanta	10.0.0.1	53399	Texas	10.0.0.27	80	HTTP	UDP	4424
2010-12-01 23:00:39	Atlanta	10.0.0.1	61979	Texas	10.0.0.25	80	HTTP	UDP	5841
2010-12-01 23:00:40	Atlanta	10.0.0.1	62790	Texas	10.0.0.25	80	HTTP	UDP	3019
2010-12-01 23:00:41	Atlanta	10.0.0.1	59326	Texas	10.0.0.26	80	HTTP	UDP	3899
2010-12-01 23:00:42	Atlanta	10.0.0.1	55736	Texas	10.0.0.28	80	HTTP	UDP	5132
2010-12-01 23:00:43	Atlanta	10.0.0.1	63651	Texas	10.0.0.28	80	HTTP	UDP	5501
2010-12-01 23:00:44	Atlanta	10.0.0.1	55889	Texas	10.0.0.25	80	HTTP	UDP	3540
2010-12-01 23:00:45	Atlanta	10.0.0.1	56207	Texas	10.0.0.30	80	HTTP	UDP	2895
2010-12-01 23:00:46	Atlanta	10.0.0.1	58187	Texas	10.0.0.27	80	HTTP	UDP	2263
2010-12-01 23:00:47	Atlanta	10.0.0.1	59555	Texas	10.0.0.28	80	HTTP	UDP	5617
2010-12-01 23:00:48	Atlanta	10.0.0.1	62241	Texas	10.0.0.27	80	HTTP	UDP	4855
2010-12-01 23:00:49	Atlanta	10.0.0.1	60006	Texas	10.0.0.28	80	HTTP	UDP	2477
2010-12-01 23:00:50	Atlanta	10.0.0.1	50953	Texas	10.0.0.27	80	HTTP	UDP	2172
2010-12-01 23:00:51	Atlanta	10.0.0.1	58403	Texas	10.0.0.26	80	HTTP	UDP	5806
2010-12-01 23:00:52	Atlanta	10.0.0.1	51377	Texas	10.0.0.27	80	HTTP	UDP	5853
2010-12-01 23:00:53	Atlanta	10.0.0.1	49713	Texas	10.0.0.27	80	HTTP	UDP	2240
2010-12-01 23:00:54	Atlanta	10.0.0.1	50339	Texas	10.0.0.27	80	HTTP	UDP	3523
2010-12-01 23:00:55	Atlanta	10.0.0.1	51184	Texas	10.0.0.30	80	HTTP	UDP	4530
2010-12-01 23:00:56	Atlanta	10.0.0.1	64381	Texas	10.0.0.30	80	HTTP	UDP	5106
2010-12-01 23:00:57	Atlanta	10.0.0.1	50289	Texas	10.0.0.26	80	HTTP	UDP	2830
2010-12-01 23:00:58	Atlanta	10.0.0.1	64092	Texas	10.0.0.29	80	HTTP	UDP	3896
2010-12-01 23:00:59	Atlanta	10.0.0.1	60986	Texas	10.0.0.27	80	HTTP	UDP	4564
2010-12-01 23:01:00	Atlanta	10.0.0.1	65267	Texas	10.0.0.30	80	HTTP	UDP	5394
2010-12-01 23:01:01	Atlanta	10.0.0.1	53499	Texas	10.0.0.27	80	HTTP	UDP	5807
2010-12-01 23:01:02	Atlanta	10.0.0.1	53005	Texas	10.0.0.26	80	HTTP	UDP	3469
2010-12-01 23:01:03	Atlanta	10.0.0.1	64903	Texas	10.0.0.25	80	HTTP	UDP	2701
2010-12-01 23:01:04	Atlanta	10.0.0.1	64077	Texas	10.0.0.25	80	HTTP	UDP	5556
2010-12-01 23:01:05	Atlanta	10.0.0.1	63161	Texas	10.0.0.26	80	HTTP	UDP	3809
2010-12-01 23:01:06	Atlanta	10.0.0.1	50000	Texas	10.0.0.29	80	HTTP	UDP	3901
2010-12-01 23:01:07	Atlanta	10.0.0.1	64447	Texas	10.0.0.28	80	HTTP	UDP	4893
2010-12-01 23:01:08	Atlanta	10.0.0.1	60231	Texas	10.0.0.29	80	HTTP	UDP	5346
2010-12-01 23:01:09	Atlanta	10.0.0.1	50271	Texas	10.0.0.27	80	HTTP	UDP	5422
2010-12-01 23:01:10	Atlanta	10.0.0.1	57146	Texas	10.0.0.28	80	HTTP	UDP	3253
2010-12-01 23:01:11	Atlanta	10.0.0.1	62234	Texas	10.0.0.25	80	HTTP	UDP	3121
2010-12-01 23:01:12	Atlanta	10.0.0.1	60055	Texas	10.0.0.25	80	HTTP	UDP	5841
2010-12-01 23:01:13	Atlanta	10.0.0.1	62314	Texas	10.0.0.28	80	HTTP	UDP	4651
2010-12-01 23:01:14	Atlanta	10.0.0.1	50400	Texas	10.0.0.29	80	HTTP	UDP	5480
2010-12-01 23:01:15	Atlanta	10.0.0.1	58678	Texas	10.0.0.26	80	HTTP	UDP	2215
2010-12-01 23:01:16	Atlanta	10.0.0.1	65454	Texas	10.0.0.30	80	HTTP	UDP	5712
2010-12-01 23:01:17	Atlanta	10.0.0.1	64610	Texas	10.0.0.29	80	HTTP	UDP	4827
2010-12-01 23:01:18	Atlanta	10.0.0.1	63058	Texas	10.0.0.29	80	HTTP	UDP	2421
2010-12-01 23:01:19	Atlanta	10.0.0.1	58644	Texas	10.0.0.30	80	HTTP	UDP	4696
2010-12-01 23:01:20	Atlanta	10.0.0.1	53560	Texas	10.0.0.29	80	HTTP	UDP	5197
2010-12-01 23:01:21	Atlanta	10.0.0.1	49962	Texas	10.0.0.28	80	HTTP	UDP	4515
2010-12-01 23:01:22	Atlanta	10.0.0.1	56778	Texas	10.0.0.25	80	HTTP	UDP	4251
2010-12-01 23:01:23	Atlanta	10.0.0.1	63950	Texas	10.0.0.30	80	HTTP	UDP	5290
2010-12-01 23:01:24	Atlanta	10.0.0.1	64406	Texas	10.0.0.26	80	HTTP	UDP	3010
2010-12-01 23:01:25	Atlanta	10.0.0.1	54031	Texas	10.0.0.29	80	HTTP	UDP	3013
2010-12-01 23:01:26	Atlanta	10.0.0.1	57871	Texas	10.0.0.29	80	HTTP	UDP	4886
2010-12-01 23:01:27	Atlanta	10.0.0.1	64184	Texas	10.0.0.29	80	HTTP	UDP	3486
2010-12-01 23:01:28	Atlanta	10.0.0.1	51807	Texas	10.0.0.30	80	HTTP	UDP	5327
2010-12-01 23:01:29	Atlanta	10.0.0.1	50496	Texas	10.0.0.28	80	HTTP	UDP	2877
